sample_id	taxon_name	host_family	host_genus	substrate_type	site_id	voucher	accession	reference	substrate_notes		
Nostoc_sp_Peltigera_malacea_cyanobiont_DB3992	Peltigera_malacea_cyanobiont_DB3992	peltigeraceae	peltigera	terricolous	NA	"Canada, British Columbia, Little Fort"	NZ_NSHF01000560.1	Xavier et al. 2012			
Nostoc_sp_Peltigera_membranacea_cyanobiont_210A	Peltigera_membranacea_cyanobiont_210A	peltigeraceae	peltigera	terricolous	NA	Iceland	NZ_NOLJ00000000.1	Gagunashvili and Andrésson 2018			
Nostoc_sp_Peltigera_membranacea_cyanobiont_213	Peltigera_membranacea_cyanobiont_213	peltigeraceae	peltigera	terricolous	NA	"Iceland, Keldur, Reykjavik"	NZ_NOLI00000000.1	Gagunashvili and Andrésson 2018			
Nostoc_sp_Peltigera_membranacea_cyanobiont_232	Peltigera_membranacea_cyanobiont_232	peltigeraceae	peltigera	terricolous	NA	"Iceland, Keldur, Reykjavik"	NZ_NOLK00000000.1	Gagunashvili and Andrésson 2018			
Nostoc_sp_Peltigera_membranacea_cyanobiont_N6	Peltigera_membranacea_cyanobiont_N6	peltigeraceae	peltigera	terricolous	NA	"Iceland, Keldur, Reykjavik"	NZ_CP026681.1	Gagunashvili and Andrésson 2018			
Nostoc_sp_UIC_10630	Nostoc_sp_UIC_10630	NA	NA	terricolous	NA	"United States of America, Downers Grove, Illinois"	NZ_JAAGOG010000000	May et al. 2020	Soil		
Nostoc_sphaeroides_CCNUC1	Nostoc_sphaeroides_CCNUC1	NA	NA	aquatic	NA	"China, Zouma, Hefeng County in Hubei Province"	NZ_CP045226	Chen et al 2021	Rice paddy field		
Nostoc_sphaeroides_Kutzing	Nostoc_sphaeroides_Kutzing	NA	NA	aquatic	NA	"China, Enshi"	NZ_CP031941	Cheng et al. 2018. Unpublished	Water		
P10073	Nephroma_resupinatum	nephromataceae	nephroma	epiphytic	ABMI 875	"Canada, Alberta, ABMI ID 241800, PMAE"		This study	log/stump		Canada
P10160	Peltigera_aphthosa_5	peltigeraceae	peltigera	terricolous	ABMI 963	"Canada, Alberta, ABMI ID 288992, PMAE"		This study	Tree/Other		Canada
P10246	Protopannaria_pezizoides	pannariaceae	protopannaria	terricolous	ABMI 1425	"Canada, Alberta, ABMI ID 1269260, PMAE"		This study	log/stump		Canada
P10247	Scytinium_sp	collemataceae	leptogium	terricolous	ABMI 1447	"Canada, Alberta, ABMI 1263667, PMAE"		This study	upland		Canada
P10264	Leptogium_saturninum	collemataceae	leptogium	epiphytic	ABMI 930	"Canada, Alberta, ABMI 1521014, PMAE"		This study	Tree/Other		Canada
P1030	Peltigera_retifoveata	peltigeraceae	peltigera	terricolous	NA	"Norway, Magain s.n. (LG)"		This study			Norway
P10324	Peltigera_britannica_2	peltigeraceae	peltigera	terricolous	ABMI 1232	"Canada, Alberta, ABMI ID 295052, PMAE"		This study	log/stump		Canada
P10894	Peltigera_malacea_2	peltigeraceae	peltigera	terricolous	ABMI 292	"Canada, Alberta, ABMI ID 374039, PMAE"		This study	Wetland		Canada
P11060	Leptogium_saturninum	collemataceae	leptogium	epiphytic	ABMI 1510	"Canada, Alberta, ABMI 682872, PMAE"		This study	Tree/Other		Canada
P11388	Peltigera_neckeri	peltigeraceae	peltigera	terricolous	ABMI 746 	"Canada, Alberta, ABMI ID 500616, PMAE"		This study	log/stump		Canada
P11425	Peltigera_aff_neorufescens	peltigeraceae	peltigera	terricolous	ABMI 1408	"Canada, Alberta, ABMI ID 3611, PMAE"		This study	upland		Canada
P1229	Peltigera_hymenina	peltigeraceae	peltigera	terricolous	NA	"United States of America, Oregon, B. McCune 30448; McCune Private Coll."		This study; Magain et al. 2017			United States of America
P12502	Pseudocyphellaria_sp	lobariaceae	pseudocyphellaria	epiphytic	GoLife Malaysia-Kinabalu-3-C2-P1	"Malaysia, Kinabalu Park, Jolanta Miadlikowska, DUKE"		This study			Malaysia
P12521	Lobaria_sp	lobariaceae	lobaria	epiphytic	GoLife Malaysia-Kinabalu-3-C1-P1	"Malaysia, Kinabalu Park, Jolanta Miadlikowska, none"		This study			Malaysia
P12523	Pseudocyphellaria_sp	lobariaceae	pseudocyphellaria	epiphytic	GoLife Malaysia-Kinabalu-1-C2-P1	"Malaysia, Kinabalu Park, Nicolas Magain, DUKE"		This study			Malaysia
P12537	Pseudocyphellaria_sp	lobariaceae	pseudocyphellaria	epiphytic	Golife Malaysia-Kinabalu-3-C2-P1	"Malaysia, Crocker Range Park, DUKE"		This study			Malaysia
P12545	Pannaria_sp	pannariaceae	pannaria	epiphytic	GoLife Malaysia-Kinabalu-2-C1-P1	"Malaysia, Kinabalu Park, Jolanta Miadlikowska, none"		This study			Malaysia
P12559	Pseudocyphellaria_guillemini	lobariaceae	pseudocyphellaria	epiphytic	GoLife Chile-Mocho-1-C1-P1	"Chile, Reserva Nacional Mocho-Choshuenco, Lutzoni et al., none"		This study			Chile
P12560	Pseudocyphellaria_berberina	lobariaceae	pseudocyphellaria	epiphytic	GoLife Chile-Puyehue-1-C2-P1	"Chile, Parque Nacional Puyehue, Lutzoni et al., none"		This study			Chile
P12564	Pseudocyphellaria_corifolia	lobariaceae	pseudocyphellaria	epiphytic	GoLife Chile-Malalca-1-C2-P1	"Chile, Reserva Nacional Malalcahuello, Lutzoni et al., AZ"		This study	epiphytic/at the base of Araucaria		Chile
P12567	Sticta_hypochra	lobariaceae	sticta	epiphytic	GoLife Chile-Mocho-1-C1-P1	"Chile, Reserva Nacional Mocho-Choshuenco, Lutzoni et al., Chile"		This study			Chile
P12569	Sticta_caulescens	lobariaceae	sticta	terricolous	GoLife Chile-Crater-2-C1-P1	"Chile, Parque Nacional Puyehue, Lutzoni et al., Chile"		This study			Chile
P12570	Sticta_hypochra	lobariaceae	sticta	terricolous	GoLife Chile-Mocho-2-C2-P1	"Chile, Reserva Nacional Mocho-Choshuenco, Lutzoni et al., Chile"		This study			Chile
P12573	Nephroma_antarcticum	nephromataceae	nephroma	epiphytic	GoLife Chile-Mocho-1-C1-P1	"Chile, Reserva Nacional Mocho-Choshuenco, Lutzoni et al., AZ"		This study			Chile
P12578	Gabura_fascicularis	arctomiaceae	Gabura	terricolous	GoLife Chile-Angol-1-C1-P1	"Chile, Parque Nacional Nahuelbuta, Lutzoni et al., Chile"		This study	epiphytic/at the base of Araucaria		Chile
P12584	Pseudocyphellaria_meyenii	lobariaceae	pseudocyphellaria	epiphytic	GoLife Chile-Puyehue-1-C1-P1	"Chile, Parque Nacional Puyehue, Lutzoni et al., AZ, Chile"		This study			Chile
P12588	Leptogium_sp	collemataceae	leptogium	terricolous	GoLife Chile-Angol-1-C1-P1	"Chile, Parque Nacional Nahuelbuta, Lutzoni et al., AZ, Chile"		This study	terricolous/on moss on a boulder		Chile
P12591	Collema_sp	collemataceae	collema	epiphytic	GoLife Malaysia-Kinabalu-1-C1-P1	"Malaysia, Kinabalu Park"		This study			Malaysia
P12639	Leptogium_sp	collemataceae	leptogium	epiphytic	GoLife Panama-Swampo-1-C1-P1	"Panama, Parque Nacional Isla Bastimentos, Nicolas Magain, Panama"		This study			panama
P12641	Leptogium_sp	collemataceae	leptogium	terricolous	GoLife Panama-Parida-1-C1-P1	"Panama, Parque Nacional Golfo de Chiriqui, Nicolas Magain, Panama"		This study	terricolous/on moss on a boulder		Panama
P12642	Leptogium_sp	collemataceae	leptogium	epiphytic	GoLife Panama-Gamboa-2-C1-P1	"Panama, Parque Nacional Soberania, Nicolas Magain, Panama"		This study			Panama
P12646	Leptogium_sp	collemataceae	leptogium	epiphytic	GoLife Panama-Baru-1-C5-P1	"Panama, Parque Nacional Volcan Baru, Nicolas Magain, Panama"		This study			Panama
P12649	Leptogium_sp	collemataceae	leptogium	terricolous	GoLife Panama-Copete-1-C1-P1	"Panama, Parque Nacional Volcan Baru, Lutzoni et al., Panama"		This study			Panama
P12650	Leptogium_sp	collemataceae	leptogium	epiphytic	GoLife Panama-Swampo-1-C1-P1	"Panama, Parque Nacional Isla Bastimentos, Nicolas Magain, Panama"		This study			Panama
P14213	Lobaria_sp	lobariaceae	lobaria	epiphytic	GoLife SouthAfrica-Buffelskloof-1-P1-C2	"South Africa, Buffelskloof, Jolanta Miadlikowska, none"		This study	terricolous/on moss on a log		South Africa
P14264	Pseudocyphellaria_sp	lobariaceae	pseudocyphellaria	epiphytic	GoLife SouthAfrica-Salt River-1-P1-C1	"South Africa, Salt River, GoLife, none"		This study			South Africa
P14269	Sticta_sp	lobariaceae	sticta	terricolous	GoLife SouthAfrica-Buffelskloof-7-P1-C3	"South Africa, Buffelskloof, GoLife, none"		This study	terricolous/on a rock with little mosses		South Africa
P14318	Sticta_sp	lobariaceae	sticta	terricolous	GoLife SouthAfrica-Table-1-P1-C1	"South Africa, Table, GoLife, none"		This study	terricolous/on a rock with little mosses		South Africa
P14321	Leptogium_sp	lobariaceae	pseudocyphellaria	terricolous	GoLife SouthAfrica-Table-1-P1-C1	"South Africa, Table, GoLife, none"		This study	terricolous/on a rock with little mosses		South Africa
P1574	Peltigera_dolichorhiza	peltigeraceae	peltigera	terricolous	NA	"Brazil, Minas Gerais, Miadlikowska et al. s.n.; CGMS-34450"		This study; Magain et al. 2017			Brazil
P2037	Peltigera_aubertii	peltigeraceae	peltigera	terricolous	NA	"Chile, Region XII, Goffinet 10559, CONN"		This study; Magain et al. 2018			Chile
P2039	Peltigera_hydrophila	peltigeraceae	peltigera	terricolous	NA	"Chile, Region XII, Shaw 17848, DUKE 0401861"		This study; Magain et al. 2018			Chile
P2081	Peltigera_canina_2	peltigeraceae	peltigera	terricolous	NA	"United States of America, North Carolina, Hollinger 2731, UBC"		This study; Magain et al. 2018			United States of America
P2083	Peltigera_rufescens_1	peltigeraceae	peltigera	terricolous	NA	"United States of America, NC, Hollinger 2711, UBC"		This study; Magain et al. 2018			United States of America
P2090	Peltigera_canina_2	peltigeraceae	peltigera	terricolous	NA	"United States of America, Oklahoma, Buck 46463, DUKE 0138952"		This study; Magain et al. 2018			United States of America
P2115	Peltigera_vainioi	peltigeraceae	peltigera	terricolous	NA	"Colombia, Miadlikowska s.n., ANDES"		This study; Magain et al. 2018			Colombia
