sample_id	taxon_name	host_family	host_genus	substrate_type	site_id	voucher	accession	reference	substrate_notes		
S39	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, Vermont, Magain 8211, LG"					
S40	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, North Carolina, Magain 8172, LG"					
S41	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, North Carolina, Magain 8178, LG"					
S42	Peltigera_neopolydactyla	peltigeraceae	peltigera	terricolous	NA	"United States of America, Vermont, Magain 8191, LG"					
S43	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, Alabama, Magain 8183, LG"					
S44	Peltigera_phyllidiosa 	peltigeraceae	peltigera	terricolous	NA	"United States of America, Missouri, Magain 8205, LG"					
S45	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, Connecticut, Magain 8169, LG"					
S46	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, Alabama, Magain 8215, LG"					
S47	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, South Carolina, Magain 8180, LG"					
S48	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, Arkansas, Magain 8197, LG"					
S49	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, Magain 8177, LG"					
S4	Lepidocollema_brisbanense	pannariaceae	lepidocollema	epiphytic	NA	"Magain T6, LG"					
S5	Physma_radians	pannariaceae	physma	epiphytic	NA	"Magain T5, LG"					
S51	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"Canada, Québec, Miadlikowska and Lutzoni W25 C2, DUKE"					
S52	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"Canada, Québec, Miadlikowska and Lutzoni SN6 E3, DUKE"					
S53	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"Canada, Alberta,cf your P8287"					
S54	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"Canada, Alberta, cf your P8293"					
S55	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"Canada, Alberta, cf your P12234"					
S56	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"Canada, Alberta, Ahti 65064 H"					
S57	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	Juriado 495 Tartu					
S58	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	Magain P845 LG					
S6	Lepidocollema_sp	pannariaceae	lepidocollema	epiphytic	NA	Magain&Sérusiaux R979 LG					
S60	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, Alaska, McCune 31327 OSC"					
S61	Peltigera_asiatica	peltigeraceae	peltigera	terricolous	NA	Magain cf your P8174 DUKE					
S62	Peltigera_asiatica	peltigeraceae	peltigera	terricolous	NA	"China, Yunnan, Miadlikowska s.n. DUKE"					
S63	Peltigera_asiatica	peltigeraceae	peltigera	terricolous	NA	Sérusiaux T299 LG					
S64	Peltigera_mikado	peltigeraceae	peltigera	terricolous	NA	"Russia, Khabarovsk Territory, Miadlikowska s.n. DUKE"					
S66	Peltigera_mikado	peltigeraceae	peltigera	terricolous	NA	Sérusiaux T47 LG					
S67	Peltigera_borinquensis	peltigeraceae	peltigera	terricolous	NA	Gaya 07.14.10-19; DUKE					
S68	Peltigera_borinquensis	peltigeraceae	peltigera	terricolous	NA	J. Mercado-Diaz 3655 F					
S8	Physma_byrsaeum	pannariaceae	physma	epiphytic	NA	Magain&Sérusiaux R1121 LG					
S82	Peltigera_sipmanii	peltigeraceae	peltigera	terricolous	NA	R. Lücking 34033; UDBC 					
S83	Peltigera_sipmanii	peltigeraceae	peltigera	terricolous	NA	Truong 3942 DUKE					
S85	Peltigera_dolichorhiza	peltigeraceae	peltigera	terricolous	NA	Lutzoni S.A.Table 2.5-C1-P1-L1 DUKE					
S86	Peltigera_pulverulenta	peltigeraceae	peltigera	terricolous	NA	Lucking 33383 UDBC					
S88	Peltigera_willdenowii	peltigeraceae	peltigera	terricolous	NA	R. Lücking 34028  UDBC					
S9	Physma_byrsaeum	pannariaceae	physma	epiphytic	NA	Diederich 18436 LG					
S90	Peltigera_esslingeri	peltigeraceae	peltigera	terricolous	NA	R. Lücking 33659; UDBC 					
S91	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, Magain 8179, LG"					
S92	Peltigera_kukwae	peltigeraceae	peltigera	terricolous	NA	M. Kukwa 9276; LPB 					
S93	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	NA	"United States of America, West Virginia, Magain 8185, LG"					
S94	Peltigera_kukwae	peltigeraceae	peltigera	terricolous	NA	"Brazil, Minas Gerais, Miadlikowska s.n., CGMS 34530"					
S95	Peltigera_itatiaiae	peltigeraceae	peltigera	terricolous	NA	"Brazil, Minas Gerais, Miadlikowska s.n., CGMS 34562"					
X2	Peltigera_ponojensis	peltigeraceae	peltigera	terricolous	NA	"Russia, Murmansk Region, near Ponoj, Kihlman 258, H (Holotype)"		This study			Russia
SRR15568737	Peltigera_canina	peltigeraceae	peltigera	terricolous	NA			vecherskii_et_al			
SRR15568764	Solorina_crocea	peltigeraceae	solorina	NA	NA			vecherskii_et_al			
P10617	Peltigera_aphthosa_5	peltigeraceae	peltigera	terricolous	NA						
P12525	Parmeliella_sp	Pannariaceae	Parmeliella	NA	NA						
P12534	Pseudocyphellaria_sp	Lobariaceae	Pseudocyphellaria	NA	NA						
