DNA extraction no.*,Species name and clade no.**,Voucher,Mycobiont multilocus sequence type,Chemotype,ITS,_ -tubulin,COR1b,COR3,No. of genes,Nostoc haplotype****,Nostoc phylogroup,rbcLX
P718,P. aphthosa 4,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H10,aph III,MK680311,MK688807,MK688619,missing,3,N/A,N/A,missing
P728,P. aphthosa 4,"Canada, Québec, J. Miadlikowska et al. W50C3, DUKE",H4,aph Ia,MK680368,missing,missing,missing,1,N/A,N/A,missing
P745,P. aphthosa 4,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H8,N/A,MK680313,MK688809,MK688621,missing,3,N/A,N/A,missing
P773,P. aphthosa 4,"Russia, Kamchatka, D. E. Himelbrant s.n., 16.08.2009, H",H22,aph III,MK680327,MK688823,missing,missing,2,N/A,N/A,missing
P788,P. aphthosa 4,"Norway, N. Magain s.n., 2011, LG ",H35,aph III,MK680346,MK688842,MK688642,MK688750,4,N/A,N/A,missing
P790,P. aphthosa 4,"Norway, N. Magain s.n., 2011, LG",H36,N/A,MK680347,MK688843,MK688643,missing,3,N/A,N/A,missing
Goffinet 3949b,P. aphthosa 5,"Canada, Alberta, B. Goffinet 3949b, CONN",H6,N/A,AF158645,missing,missing,missing,1,N/A,N/A,missing
HOB020708-0-5-7,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437625,missing,missing,missing,1,HT21,IV,KC437841
HOB020708-31-1-7,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H13,N/A,FJ708843,FJ709274,missing,missing,2,N/A,N/A,missing
HOB020708-31-1-8,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H13,N/A,FJ708844,FJ709275,missing,missing,2,N/A,N/A,missing
HOB020708-35-5-4,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708820,FJ709251,missing,missing,2,N/A,N/A,missing
HOB020708-35-5-5,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H14,N/A,FJ708845,FJ709276,missing,missing,2,N/A,N/A,missing
HOB020708-35-5-6,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708821,FJ709252,missing,missing,2,N/A,N/A,missing
HOB020708-39-1-9,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H15,N/A,FJ708842,FJ709273,missing,missing,2,N/A,N/A,missing
HOB020708-4-1-5,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708822,FJ709253,missing,missing,2,HT18,IV,KC437653
HOB020708-4-1-9,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437623,missing,missing,missing,1,HT18,IV,KC437849
HOB020708-4-5-7,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708823,FJ709254,missing,missing,2,N/A,N/A,missing
HOB020708-4-9-4,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708824,FJ709255,missing,missing,2,N/A,N/A,missing
HOB020708-4-9-5,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437615,missing,missing,missing,1,HT2,VI,KC437853
HOB020708-4-9-6,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708825,FJ709256,missing,missing,2,N/A,N/A,missing
HOB020708-4-9-7,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708826,FJ709257,missing,missing,2,N/A,N/A,missing
HOB020708-62-5-10,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437614,missing,missing,missing,1,HT2,VI,KC437854
HOB020708-62-5-6,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708827,FJ709258,missing,missing,2,N/A,N/A,missing
HOB020708-66-5-10,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708828,FJ709259,missing,missing,2,N/A,N/A,missing
HOB020708-66-5-6,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708829,FJ709260,missing,missing,2,N/A,N/A,missing
HOB020708-66-9-10,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708830,FJ709261,missing,missing,2,N/A,N/A,missing
HOB020708-66-9-6,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708831,FJ709262,missing,missing,2,N/A,N/A,missing
HOB020708-66-9-7,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H16,N/A,FJ708840,FJ709271,missing,missing,2,N/A,N/A,missing
HOB020708-66-9-8,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708832,FJ709263,missing,missing,2,N/A,N/A,missing
HOB020708-70-9-10,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437616,missing,missing,missing,1,HT2,VI,KC437863
HOB020708-8-5-10,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708833,FJ709264,missing,missing,2,N/A,N/A,missing
HOB020708-8-5-3,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708834,FJ709265,missing,missing,2,N/A,N/A,missing
HOB020708-8-5-7,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708835,FJ709266,missing,missing,2,N/A,N/A,missing
HOB020708-8-5-8,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708836,FJ709267,missing,missing,2,N/A,N/A,missing
HOB020708-8-5-9,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H17,N/A,FJ708841,FJ709272,missing,missing,2,N/A,N/A,missing
HOB020708-8-9-5,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708837,FJ709268,missing,missing,2,N/A,N/A,missing
HOB040605-03-1,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437627,missing,missing,missing,1,HT23,IV,KC437880
HOB040605-09-2,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437624,missing,missing,missing,1,HT18,IV,KC437898
HOB040605-3-1,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708838,FJ709269,missing,missing,2,N/A,N/A,missing
HOB040605-9-2,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708839,FJ709270,missing,missing,2,N/A,N/A,missing
P1026,P. aphthosa 5,"Norway, N. Magain s.n., 2011, LG ",H32,N/A,MK680342,MK688837,MK688639,MK688747,4,N/A,N/A,missing
P1029,P. aphthosa 5,"Norway, N. Magain s.n., 2011, LG",H33,aph I,MH734724P,MK688838,MK688640,MK688748,4,N/A,N/A,missing
P1058,P. aphthosa 5,"U.S., Minnesota, C. Wetmore 82617, MIN",H25,aph I,MK680333,MK688828,MK688633,MK688743,4,N/A,N/A,missing
P1059,P. aphthosa 5,"U.S., Minnesota, C. Wetmore 92443, MIN",H26,N/A,MK680334,MK688829,MK688634,missing,3,N/A,N/A,missing
P1060,P. aphthosa 5,"U.S., Minnesota, C. Wetmore 96791, MIN",H19,N/A,MK680335,MK688830,MK688635,MK688744,4,N/A,N/A,missing
P1114,P. aphthosa 5,"Canada, Alberta, J. Hollinger 3870, UBC",H7,aph III,MK680315,MK688811,MK688622,MK688735,4,N/A,N/A,missing
P1172,P. aphthosa 5,"U.S., Minnesota, C. Wetmore 92428, MIN",H27,N/A,MK680336,MK688831,MK688636,missing,3,N/A,N/A,missing
P1185,P. aphthosa 5,"Sweden, A. Agren 609, UPS L-137395",H7,N/A,MK680373,MK688865,missing,missing,2,H7,IV,MK720754
P1187,P. aphthosa 5,"Sweden, I. Karlsson s.n., 10.23.2011, UPS L-552786",H50,aph I,MK680374,MK688866,missing,missing,2,N/A,N/A,missing
P1189,P. aphthosa 5,"Sweden, I. Karlsson s.n., 10.23.2011, UPS L-552785",H51,N/A,MK680375,MK688867,missing,missing,2,N/A,N/A,missing
P1369,P. aphthosa 5,"Sweden, O. Vitikainen 12745, H",H52,aph I,MK680376,MK688868,missing,missing,2,N/A,N/A,missing
P201,P. aphthosa 5,"Canada, British Columbia, T. Goward 07-132, UBC",H19,aph III,MK680319,MK688815,MK688626,MK688739,4,H13,V,MK720761
P226,P. aphthosa 5,"Canada, British Columbia, T. Goward 09-630, UBC",H11,N/A,MK680320,MK688816,MK688627,MK688740,4,H3,IV,MK720762
P4017,P. aphthosa 5,"Canada, Alberta, J. Miadlikowska et al. s.n., 08.17.2013, DUKE",H11,N/A,MK680317,MK688813,MK688624,MK688737,4,N/A,N/A,missing
P4022,P. aphthosa 5,"Canada, Labrador, C. J. Rothfels 4432, DUKE",H23,N/A,MK680329,missing,MK688629,MK688742,3,N/A,N/A,missing
P4048,P. aphthosa 5,"Canada, Ontario, R. Troy McMullin 8928, DUKE",H43,N/A,MK680358,MK688904,missing,missing,2,N/A,N/A,missing
P4049,P. aphthosa 5,"Canada, Ontario, R. Troy McMullin 8920, DUKE",H44,N/A,MK680359,MK688853,MK688651,missing,3,N/A,N/A,missing
P5003,P. aphthosa 5,"Canada, Québec, J. Miadlikowska et al. W12.5C3, DUKE",H6,N/A,MG811729L,missing,missing,missing,1,H11,IV,MG818407L
P5005,P. aphthosa 5,"Canada, Québec J. Miadlikowska et al., W12.5C2, DUKE",H48,N/A,MG811730L,missing,missing,missing,1,H11,IV,MG818408L
P5007,P. aphthosa 5,"Canada, Québec J. Miadlikowska et al. SN8E3, DUKE",H6,N/A,MG811731L,missing,missing,missing,1,H4,IV,MG818412L
