sample_id	taxon_name	host_family	host_genus	substrate	country	voucher
P2180	Peltigera_ponojensis_monticola_1a	peltigeraceae	peltigera			
P2213	Peltigera_canina_1	peltigeraceae	peltigera			
P2224	Peltigera_neocanina_3	peltigeraceae	peltigera			
P3034	Peltigera_occidentalis	peltigeraceae	peltigera			
P3068	Peltigera_neopolydactyla_5	peltigeraceae	peltigera			
P330	Peltigera_truculenta	peltigeraceae	peltigera			
P5023	Peltigera_scabrosa	peltigeraceae	peltigera			
P539	Peltigera_hymenina	peltigeraceae	peltigera			
P607	Peltigera_sp_3	peltigeraceae	peltigera			
P6447	Peltigera_collina	peltigeraceae	peltigera			
P6465	Peltigera_neopolydactyla_1	peltigeraceae	peltigera			
P6524	Peltigera_praetextata	peltigeraceae	peltigera			
P6600	Peltigera_canina_2	peltigeraceae	peltigera			
P6602	Peltigera_scabrosa_1_	peltigeraceae	peltigera			
P6620	Peltigera_neopolydactyla_	peltigeraceae	peltigera			
P6636	Peltigera_horizontalis	peltigeraceae	peltigera			
P6963	Peltigera_sp	peltigeraceae	peltigera			
P6970	Peltigera_sp_11	peltigeraceae	peltigera			
P8202	Peltigera_latiloba	peltigeraceae	peltigera		canada	
P8219	Peltigera_islandica	peltigeraceae	peltigera		canada	
P8231	Peltigera_ponojensis_monticola_1a	peltigeraceae	peltigera		canada	
P8256	Peltigera_didactyla_3	peltigeraceae	peltigera		canada	
P8569	Peltigera_elisabethae	peltigeraceae	peltigera		canada	
P8570	Peltigera_canina_1	peltigeraceae	peltigera		canada	
P8571	Peltigera_praetextata	peltigeraceae	peltigera		canada	
P8575	Peltigera_neckeri	peltigeraceae	peltigera		canada	
P8577	Peltigera_aphthosa_5	peltigeraceae	peltigera		canada	
P8580	Peltigera_neckeri	peltigeraceae	peltigera		canada	
P8690	Peltigera_malacea_3	peltigeraceae	peltigera		canada	
P8768	Peltigera_aff_didactyla	peltigeraceae	peltigera		canada	
P8840	Peltigera_leucophlebia_1	peltigeraceae	peltigera		canada	
P8857	Peltigera_scabrosa_1	peltigeraceae	peltigera		canada	
P8926	Peltigera_malacea_2	peltigeraceae	peltigera		canada	
P9119	Peltigera_frippii	peltigeraceae	peltigera		canada	
P9121	Peltigera_neopolydactyla_1	peltigeraceae	peltigera		canada	
